"","Kommune","Age 0-9","Age 10-19","Age 20-29","Age 30-39","Age 40-49","Age 50-59","Age 60-69","Age 70-79","Age 80-89","Age 90-98","Age 100 or more","No_education","Pensionist","Population Density"
"1","Moss","5020","6070","5613","6299","6709","7633","6070","5238","2147","427","14","308","10210","393"
"2","Sarpsborg","6241","7285","7020","7651","7749","8167","6690","5500","2263","466","6","278","10819","157"
"3","Fredrikstad","8271","10195","9881","10703","10587","12395","10308","8080","3366","652","6","464","16220","295"
"4","Drammen","10732","12614","12263","14615","14325","14121","10975","8990","3851","785","20","604","17990","335"
"5","Kongsberg","2838","3660","3241","3710","3960","3943","3249","2834","1129","225","4","118","5536","37"
"6","Ringerike","2902","3603","3555","3960","4137","4439","3979","3265","1331","266","7","141","6600","22"
"7","Hvaler","330","492","352","353","566","763","930","748","196","32","0","12","1378","53"
"8","Aremark","104","135","151","118","149","220","208","153","75","15","1","3","335","5"
"9","Marker","323","382","352","392","406","563","496","467","208","49","1","17","918","10"
"10","Indre","4875","5634","4968","6007","6155","6807","5362","4507","1661","398","8","266","8624","60"
"11","Indre","4875","5634","4968","6007","6155","6807","5362","4507","1661","398","8","266","8624","10"
"12","Indre","4875","5634","4968","6007","6155","6807","5362","4507","1661","398","8","266","8624","60"
"13","Indre","4875","5634","4968","6007","6155","6807","5362","4507","1661","398","8","266","8624","10"
"14","Indre","4875","5634","4968","6007","6155","6807","5362","4507","1661","398","8","266","8624","60"
"15","Indre","4875","5634","4968","6007","6155","6807","5362","4507","1661","398","8","266","8624","10"
"16","Indre","4875","5634","4968","6007","6155","6807","5362","4507","1661","398","8","266","8624","60"
